skills:[[2, 1, 0], [0, 3, 0], [0, 4, 7]], reward:10.3, epsilon:1.0
skills:[[5, 7, 5], [2, -1, -1], [-1, 7, -1]], reward:6.8, epsilon:1.0
skills:[[3, 3, 1], [4, -1, 0], [4, 0, 5]], reward:14.8, epsilon:1.0
skills:[[7, 6, 5], [0, 2, 6], [3, 5, 1]], reward:9.3, epsilon:1.0
skills:[[3, 2, 3], [1, -1, 3], [2, 2, 2]], reward:9.6, epsilon:0.9932415519399249
skills:[[7, 4, 7], [4, 7, 3], [7, 4, 2]], reward:9.3, epsilon:1.0
skills:[[7, 1, 4], [5, 1, 1], [5, 3, 3]], reward:11.0, epsilon:1.0
skills:[[-1, 2, 5], [3, 0, 1], [-1, 1, 7]], reward:9.7, epsilon:0.9932415519399249
skills:[[2, 7, 5], [2, 6, 6], [4, 1, 0]], reward:15.6, epsilon:1.0
skills:[[-1, 5, 1], [4, 1, 4], [4, 1, 2]], reward:13.4, epsilon:1.0
skills:[[-1, 6, 2], [0, 5, 5], [0, 4, 2]], reward:8.2, epsilon:0.9954943679599499
skills:[[6, 5, 6], [4, 0, 4], [5, 4, 1]], reward:8.7, epsilon:0.9988735919899875
skills:[[5, 2, 6], [6, 0, 0], [4, 3, 7]], reward:9.7, epsilon:1.0
skills:[[7, 5, 4], [2, 4, -1], [4, 2, 7]], reward:6.4, epsilon:0.9921151439299124
skills:[[4, 3, -1], [2, -1, 5], [1, 5, -1]], reward:10.6, epsilon:0.9898623279098874
skills:[[4, 2, 2], [3, 4, 1], [4, -1, 2]], reward:12.6, epsilon:0.9954943679599499
skills:[[2, 1, 4], [6, 0, 1], [5, 3, 5]], reward:10.2, epsilon:0.9954943679599499
skills:[[6, 5, 4], [5, 7, 5], [-1, 0, -1]], reward:6.2, epsilon:0.9740926157697122
skills:[[0, 6, 0], [-1, 0, 6], [0, 6, -1]], reward:-1.0, epsilon:0.9617021276595745
skills:[[3, 2, -1], [0, 3, 5], [-1, -1, 7]], reward:7.3, epsilon:0.9752190237797247
skills:[[3, 6, 2], [0, 5, 0], [2, 6, 4]], reward:7.8, epsilon:0.9842302878598248
skills:[[7, 7, 4], [1, 5, 5], [5, 2, 2]], reward:9.5, epsilon:0.9752190237797247
skills:[[4, 2, 7], [6, 1, 5], [3, 3, 2]], reward:8.9, epsilon:0.9932415519399249
skills:[[3, 0, 6], [4, 6, 1], [5, 0, 0]], reward:10.5, epsilon:0.9740926157697122
skills:[[3, 7, 0], [4, 6, 7], [0, -1, 7]], reward:8.6, epsilon:0.9819774718397998
skills:[[-1, 5, 0], [1, -1, 7], [6, 1, -1]], reward:8.7, epsilon:0.9864831038798498
skills:[[7, 0, 7], [3, 6, 0], [1, 2, 0]], reward:10.5, epsilon:0.9898623279098874
skills:[[-1, 2, -1], [-1, -1, 1], [0, 6, -1]], reward:6.1, epsilon:0.9853566958698373
skills:[[3, 3, 4], [1, 3, 6], [7, 6, 0]], reward:9.4, epsilon:0.9876095118898623
skills:[[4, 1, 0], [3, 4, 4], [7, 5, 2]], reward:15.4, epsilon:0.9752190237797247
skills:[[3, 6, 7], [3, 5, 7], [6, 3, 1]], reward:9.3, epsilon:0.9864831038798498
skills:[[3, 0, 1], [-1, 4, -1], [4, 0, 1]], reward:31.8, epsilon:0.9673341677096371
skills:[[3, 3, 3], [2, 3, 1], [3, 0, 0]], reward:7.1, epsilon:0.9740926157697122
skills:[[0, -1, 5], [5, 3, 4], [2, 2, 5]], reward:6.9, epsilon:0.9707133917396746
skills:[[3, 4, -1], [5, 1, 2], [4, 7, 3]], reward:10.3, epsilon:0.9797246558197747
skills:[[2, 3, 7], [4, 0, 2], [-1, 0, 6]], reward:9.3, epsilon:0.9752190237797247
skills:[[3, 3, 6], [1, 7, 4], [-1, 2, 7]], reward:8.9, epsilon:0.9752190237797247
skills:[[2, 4, 4], [6, 4, 3], [0, 3, 4]], reward:11.9, epsilon:0.9560700876095118
skills:[[0, 4, 5], [4, 3, -1], [6, 3, 6]], reward:9.0, epsilon:0.965081351689612
skills:[[6, 6, 0], [7, 3, 2], [3, 4, 1]], reward:18.6, epsilon:0.9493116395494368
skills:[[3, -1, 0], [4, 0, 6], [0, 0, 6]], reward:9.6, epsilon:0.9662077596996246
skills:[[7, 4, 2], [0, -1, 7], [5, 7, 5]], reward:9.1, epsilon:0.9560700876095118
skills:[[7, 0, 6], [1, -1, 2], [3, 1, -1]], reward:12.9, epsilon:0.9493116395494368
skills:[[-1, 1, 3], [4, 3, 6], [0, -1, 4]], reward:9.3, epsilon:0.9662077596996246
skills:[[0, 3, 6], [5, 0, 4], [-1, 7, 5]], reward:8.1, epsilon:0.9504380475594493
skills:[[0, 2, 4], [4, 0, 5], [7, 1, 3]], reward:9.3, epsilon:0.9538172715894868
skills:[[6, 7, 1], [6, 0, 2], [1, 4, 0]], reward:12.1, epsilon:0.9673341677096371
skills:[[4, 7, 1], [3, 1, -1], [1, 3, 2]], reward:9.2, epsilon:0.9707133917396746
skills:[[5, 3, 7], [2, 3, 7], [4, 2, 3]], reward:10.5, epsilon:0.9526908635794743
skills:[[0, 0, 3], [1, 4, 2], [6, 1, 5]], reward:8.9, epsilon:0.9639549436795996
skills:[[6, 3, 5], [5, -1, 0], [5, 3, 2]], reward:5.8, epsilon:0.9459324155193992
skills:[[0, 2, -1], [-1, 2, 7], [-1, 4, 4]], reward:10.8, epsilon:0.9560700876095118
skills:[[-1, 2, -1], [3, 3, 4], [7, 7, 7]], reward:8.3, epsilon:0.9571964956195244
skills:[[7, 5, 6], [3, 0, 1], [2, -1, 6]], reward:15.5, epsilon:0.9425531914893617
skills:[[-1, 7, 1], [5, 2, 3], [3, 4, 4]], reward:9.0, epsilon:0.9560700876095118
skills:[[2, 0, 1], [5, 3, 2], [4, 3, 6]], reward:11.0, epsilon:0.9560700876095118
skills:[[4, 3, 0], [5, 3, 7], [3, 7, 3]], reward:10.9, epsilon:0.9425531914893617
skills:[[5, 1, 7], [-1, 0, 6], [0, 1, 0]], reward:16.7, epsilon:0.9335419274092616
skills:[[5, 1, 7], [0, 3, 2], [0, 7, 3]], reward:8.3, epsilon:0.9414267834793492
skills:[[5, -1, 5], [7, 3, 7], [4, 7, 4]], reward:8.3, epsilon:0.932415519399249
skills:[[-1, -1, -1], [7, 4, 4], [2, 4, 1]], reward:8.3, epsilon:0.9448060075093867
skills:[[3, 2, -1], [-1, 3, 1], [6, 2, 1]], reward:9.9, epsilon:0.9470588235294117
skills:[[5, 5, 6], [5, 7, -1], [0, 1, 7]], reward:8.6, epsilon:0.9403003754693366
